1,"Faltar à verdade."
2,"Utilizar-se de livros, cadernos ou outros materiais pertencentes a colegas, sem o devido consentimento."
3,"Deixar de comparecer ou chegar atrasado às atividades programadas."
4,"Apresentar-se com uniforme diferente do que foi previamente estabelecido."
5,"Ter pouco cuidado com o asseio próprio ou coletivo e com sua apresentação individual."
6,"Trocar de uniforme em locais não apropriados."
7,"Deixar material ou dependência sob sua responsabilidade, desarrumada ou com má apresentação, ou para tal contribuir."
8,"Deixar de apresentar material, documento ou trabalhos escolares de sua responsabilidade, nas atividades escolares ou quando solicitado, em dia e em ordem."
9,"Deixar de cumprir o prescrito nos regulamentos, normas e orientações, ou contribuir para tal."
10,"Ocupar-se durante as aulas com qualquer outro trabalho estranho a elas."
11,"Ausentar-se das atividades escolares sem autorização."
12,"Representar o Colégio ou por ele tomar compromisso, sem estar para isso autorizado."
13,"Simular doença para esquivar-se ao atendimento de obrigações e atividades escolares."
14,"Causar danos materiais a outro aluno."
15,"Ter em seu poder, introduzir, ler ou distribuir, dentro do colégio, cartazes, jornais ou publicações, de cunho político-partidário ou que atentem contra a disciplina ou a moral."
16,"Propor ou aceitar transação pecuniária de qualquer natureza, no interior do colégio."
17,"Deixar de usar ou usar de maneira irregular, peças de uniforme previstas no RUE/CM ou nas normas vigentes."
18,"Deixar de devolver à subunidade, dentro do prazo estipulado, qualquer documento, devidamente assinado pelo pai ou responsável."
19,"Não levar falta ou irregularidade que presenciar, ou de que tiver ciência e não lhe couber reprimir, ao conhecimento de autoridade competente."
20,"Utilizar sem devida autorização telefones celulares e/ou aparelhos eletrônicos nas atividades escolares, nas instruções ou em formaturas, perturbando o desenvolvimento das atividades, sob pena de serem recolhidos e entregue somente aos responsáveis."
21,"Utilizar-se do anonimato."
22,"Comportar-se de maneira inadequada, desrespeitando ou desafiando pessoas, descumprindo normas vigentes ou normas de boa educação."
23,"Portar-se de modo inconveniente nas atividades escolares, nas instruções ou em formaturas, perturbando o desenvolvimento dessas atividades."
24,"Portar objetos que ameacem a segurança individual e/ou da coletividade."
25,"Causar danos físicos e ou morais a outro aluno."
26,"Praticar atos de vandalismo."
27,"Causar danos materiais ao patrimônio da União."
28,"Portar, usar e/ou distribuir drogas lícitas ou ilícitas nas dependências do colégio ou fora dele."
29,"Praticar jogos de azar e outros proibidos pela legislação em vigor, assim como aqueles atentatórios e/ou inadequados ao ambiente educativo."
30,"Esquivar-se a satisfazer compromissos de ordem moral ou pecuniária que houver assumido."
31,"Frequentar lugares incompatíveis com o decoro da sociedade e de sua situação de aluno."
32,"Retirar ou tentar retirar de qualquer dependência do colégio, material, viatura ou animal, ou mesmo deles servir-se sem ordem do responsável ou do proprietário."
33,"Entrar no colégio ou dele sair, não estando para isso autorizado, bem como entrar ou sair por locais e vias não permitidos."
34,"Ir a qualquer dependência do colégio sem autorização, bem como nela penetrar sem permissão ou ordem da autoridade que nela estiver presente."
35,"Apresentar parte ou recursos sem seguir as normas e preceitos regulamentares, em termos desrespeitosos, com argumentos falsos ou de má fé, ou mesmo sem justa causa ou razão."
36,"Publicar, divulgar ou contribuir para que sejam publicadas ou divulgadas por internet, por mídias sociais ou por aplicativos, mensagens, fotos, arquivos ou quaisquer outros documentos que possam concorrer para atingir a imagem do Colégio, de algum de seus integrantes ou de algum aluno."
37,"Promover ou envolver-se em rixa, inclusive luta corporal, com outro aluno."
38,"Fazer uso de perfis falsos em redes sociais para a difusão de informações."
39,"Divulgar imagens gravadas dentro dos CM sem apreciação e autorização do Comandante."
40,"Formar grupos ou promover algazarras, vaias ou distúrbios nas salas de aula ou outras dependências e nas imediações do estabelecimento, bem como perturbar, por qualquer outro modo, o sossego das aulas e a ordem natural."
41,"Participar de movimentos de indisciplina coletiva, impedir a entrada de colegas na sala de aula ou incitá-los a ausências coletivas."
42,"Utilizar material didático copiado total ou parcial, sem a devida autorização dos detentores dos diretos autorais ou da Administração do Colégio. (Sujeito à penalidade da lei)."
43,"Utilizar de processos fraudulentos na realização de provas e trabalhos escolares, bem como a adulteração de documentação."
44,"Praticar atos de bullying ou ciberbullying (colocar apelidos pejorativos, xingar, discriminar) ou expor a situações embaraçosas colegas, professores e funcionários."
45,"Realizar gravação de imagem, vídeo ou áudio de outro aluno sem o prévio conhecimento/autorização para tal."
46,"Usar fogos de artifício, bombas ou rojões, sob pena de afastamento automático."
